Employer_OrganizationName,Employer_EmployerName,Employer_Telephone,Employer_Email,email_quality
สจจ.สุราษฎร์ธานี,บริษัท เสริมสุข จำกัด (มหาชน) สุราษฎร์ธานี,061-3986738 (สุราษฎร์ฯ) / 088-3952755 (ภูเก็ต),Sittichai.Chaiya@sermsakpic.com,1
สจจ.สระบุรี,บริษัท วิริยะโลหะกิจ จำกัด สระบุรี,036-7122222-28,viriyalohakij.hr@gmail.com,1
สจจ.อยุธยา,บริษัท ไทย มิคามิ จำกัด,035746591-7,waewta@thaimikam.com,1
สจจ.ฉะเชิงเทรา,วงษ์พาณิชย์ สาขาวังตะเคียน,0894450020,amarin.chantra@gmail.com,1
สจจ.จันทบุรี,บจก.โฮมเซรามิค(จันทบุรี),083-5882557,hr-home-ceramic@hotmail.com,1
สจจ.สงขลา,นันทะวัสดุก่อสร้าง จำกัด,074-542921,nanta_wasadu@hotmail.com,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๑,บริษัท แมสมาร์เกตติ้ง  จำกัด (สำนักงานใหญ่),02-683-0333 ต่อ 301-2,vasit@massmarketing.co.th,1
สจจ.สมุทรสาคร,บริษัท มหาเจริญการทอ จำกัด(สมุทรสาคร),034-406099,mahra@hotmail.com,1
สจจ.ปทุมธานี,บริษัท บูรพาอุตสาหกรรม จำกัด (ปทุมธานี),02-5816616,eicpt_hr@hotmail.com,1
สจจ.ตราด,ร้านตราดวัสดุ,039512717,tratsmartjob@gmail.com,1
สจจ.นครราชสีมา,บริษัท ตงฮั้วบัวใหญ่ (1994) จำกัด,0-4429-2222 ต่อ 2142,tossporn@tonghuarioe.com,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๙,บริษัท เวิลด์ แทร็คเตอร์(1996) จำกัด,02-551-1021,xxx@xxx.xxx,0
สจจ.กาฬสินธุ์,ห้างหุ้นส่วนจำกัด  ประชาพัฒน์,043010349,xx@xxx.com,0
สจจ.นครพนม,ห้างหุ้นส่วนจำกัด หมงฮวดโฮมมาร์ท,"042-591099, 042-591199",xx@xx.xx.xx,0
สจจ.ประจวบคีรีขันธ์,บจก.ทองมงคลอุตสาหกรรมน้ำมันปาล์ม,032-818567/082-3540220,pom@hotmail.com,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๑,บริษัท พี แอนด์ พี พรีเมียร์เทรด จำกัด,023502512-6,pandp@onestopim-ex.com,1
สจจ.สิงห์บุรี,บริษัท เอเชีย เอ็นเนอร์จี คอร์ปอเรชั่น จำกัด,099-1783111,contactcenter.aec@gmail.com,1
สจจ.ร้อยเอ็ด,บริษัท ธีรภาดาโฮมมาร์ทแม็กซ์ จำกัด,0992164614,nol_tera@hotmail.com,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๑๐,ธนาคารออมสิน (สำนักงานใหญ่),02-2998000 ต่อ 030211-2,Pd2.human@gsb.or.th,1
สจจ.สมุทรสาคร,บริษัท รุ่งสินโภคภัณฑ์ จำกัด(สมุทรสาคร),034-839504,JuntiBoonin@gmail.com,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๖,บริษัท วัฒนาธร จำกัด,02-4248582,vathanathorn@hotmail.com,1
สจจ.สมุทรสาคร,บริษัท ไทยรวมสินพัฒนาอุตสาหกรรม จำกัด(สาขาสมุทรสาคร),034-816444 ต่อ 4634,kanyapat.keawsingud@thaiunion.com,1
สจจ.ราชบุรี,บริษัท แก่นจันทร์เมทัลชีทราชบุรี จำกัด,032-322514,kaenchan_rb@hotmail.com,1
สจจ.สมุทรสาคร,บริษัท อุทิศเอ็นเตอร์ไพรส์ จำกัด (สาขาสมุทรสาคร),034-834268,jiraphat_@autids.com,1
สจจ.สมุทรสาคร,บริษัท เฟิสท์ รับเบอร์ จำกัด(สมุทรสาคร),034-824552-4,hr@firstrubberthai.com,1
สจจ.สมุทรสาคร,บริษัท แอลที ดิสทริบิวชั่น จำกัด(สมุทรสาคร),081-9160067,LT_DISTRIBUTION@hotmail.co.th,1
สจจ.ลำพูน,บริษัท ทีแพค แอสฟัลท์ติก แอนด์ คอนกรีต จำกัด,088-2591357,xxx@xxx.xxx,0
สจจ.ลำพูน,บริษัท โมเดิร์น เอ็ดดูเคชั่น มอลล์ จำกัด ลำพูน,053-510556-7,xxx@xxx.xxx,0
สจจ.ลำพูน,บริษัท สยามโกลบอลเฮ้าส์  จำกัด (สาขาลำพูน),053-093955-6,hr.ip@globalhouse.co.th,1
สจจ.ลำพูน,บริษัท ไทยไปป์ภาคเหนือ จำกัด (ลำพูน),053-5814123,xxx@xxx.xxx,0
สจจ.พิษณุโลก,บริษัท อีด้า - เซเว่น ซันส์ จำกัด (สาขาพิษณุโลก),098-2604451,111@hotmail.com,0
สจจ.พิษณุโลก,ห้างหุ้นส่วนจำกัด ช้างโชคชัย,055-252837-8,111@hotmail.com,0
สจจ.พิษณุโลก,ห้างหุ้นส่วนจำกัด เอสพีเค คอนเซสชั่นแนร์,"055-006269,082-6131739",111@hotmail.com,0
สจจ.อุดรธานี,บมจ.สยามโกลบอลเฮ้าส์ สาขาอุดรธานี,042-323785-7,hrud@globalhouse.co.th,1
สจจ.อุดรธานี,บริษัทอุดรกิตติ (1992) จำกัด,042-221758,udn_doe@hotmail.co.th,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๔,บริษัท เนติภูมิ จำกัด,029461388,netipoom_lam@hotmail.com,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๙,บริษัท ดับเบิ้ลยูเจ เอ็กซ์เพรส จำกัด,02-123-4567,xxx@xxx.xxx,0
สจจ.อุดรธานี,บริษัท ดัชมิลล์ จำกัด (อุดรธานี),0817516610,x.xxx@xx.com,0
สจจ.สตูล,บริษัท ผลิตภัณฑ์ปลากระป๋องสยาม จำกัด,074709100,satun_ejob@hotmail.com,1
สจจ.ภูเก็ต,บริษัท 3 เอ็มเท็ค เอ็นจิเนียริ่ง จำกัด,076-602457,xx@xxx.xxxx,0
สจจ.ประจวบคีรีขันธ์,หจก.ทิพย์นครเฮ้าส์,086-3833225,koy_pkn@hotmail.com,1
สจจ.นครปฐม,ห้างหุ้นส่วน จำกัด ประจักษ์วัสดุก่อสร้างดอนตูม,034-987770-3,xx@xx.x,0
สจจ.นนทบุรี,บริษัท ไทยนครพัฒนา จำกัด,02-555-9999 ต่อ 1201,human_resource5@thainakorn.com,1
สจจ.นนทบุรี,บริษัท ยีราฟคอยาว จำกัด,021206939,chefandyyangoffice@gmail.com,1
สจจ.นนทบุรี,หจก.ก่วงตี้,02-9696285-6,kuangtijfood@gmail.com,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๑๐,บริษัท แสงชัยมิเตอร์ จำกัด,022993000,hr@sangchaimeter.com,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๙,บริษัท สหสามัคคีบริการ จำกัด,02-554-8064,sss.hr@htn.co.th,0
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๙,เดอะ บราวนีส์ กรุ๊ป จำกัด,02-106-3635,xxx@xxx.xxx,0
สจจ.นครราชสีมา,บริษัท ก.เกียรติชัยพัฒนาขนส่ง จำกัด (นครราชสีมา),044-203387-88,korat@gkc.co.th,1
สจจ.ปทุมธานี,บริษัท ไทยเฟรชฟาร์ม จำกัด,084-9130746,info@thaifreshfarm.com,1
สจจ.ชุมพร,ห้างหุ้นส่วนจำกัด  ชุมพรลิ้มกวงง้วน,077571238,oum_nitiwadee@hotmail.com,1
สจจ.ชุมพร,บริษัทไถ่เชียงวัสดุก่อสร้าง,077-529890,linglom469@gmail.com,1
สจจ.กำแพงเพชร,ห้างหุ้นส่วนจำกัด ท่าทราย นาย ส.,0623556000215,kptdoe@gmail.com,1
สจจ.กำแพงเพชร,โรงเรียนอนุบาลภู่ขจร (กำแพงเพชร),055-713765,kptdoe@gmail.com,1
สจจ.บุรีรัมย์,บริษัท ห้องเย็นสมพงษ์  จำกัด,086-3008480,nongnuch_my@hotmail.com,1
สจจ.นครราชสีมา,บริษัท สีมาคอนเทนเน่อร์แบ็ก จำกัด,044-358123,nang_plung@hotmail.com,1
สจจ.ร้อยเอ็ด,บริษัท อู่รุ่งเรืองบริการ 101 จำกัด,043514871,rungruengservice@hotmai.com,1
สจจ.ฉะเชิงเทรา,บริษัท ไทยแพกซ์ แมนูแฟคทอรี่ จำกัด,0-3858-4405-6,aaaaaaa@gmail.com,0
สจจ.ชลบุรี,บจก.มนต์ทรานสปอร์ต จำกัด (สาขาชลบุรี),038-482-683,parichart.p@monlogistics.com,1
สจจ.ชลบุรี,บริษัท ไทย โอนลี่ วัน แมเนจ แอนด์ เซอร์วิส จำกัด,038-111977,123@hotmail.com,0
สจจ.เพชรบุรี,เพชรพลัง,032416599,anoma.cho19@doe.go.th,1
สจจ.สุราษฎร์ธานี,บริษัท  สุราษฎร์ซาฟารีแอนด์แอดเวนเจอร์เนเจอร์ทัวร์ จำกัด,077-389550,keereewarin@gmail.com,1
สจจ.สมุทรปราการ,บริษัท ไฮ คิว ผลิตภัณฑ์อาหาร จำกัด,02-7500505,chonlada@hiqfood.com,1
สจจ.สมุทรสงคราม,บริษัท ศรีสยามเฟอร์นิเจอร์ (สมุทรสงคราม) จำกัด,034-711147,moojeap@yahoo.com,1
สจจ.นนทบุรี,บริษัท เซ็นทรัล ฟู๊ด รีเทล จำกัด,028317300 ต่อ 7628-31,pavarassayaporn@tops.co.th,1
สจจ.นนทบุรี,สยามซิง เมเทิลพาร์ท แอนด์ ทูลลิ่ง เอ็นเตอร์ไพรส์ จำกัด,02-1528948,hr@ssmp.co.th,1
สจจ.อยุธยา,บริษัท เคอรี่ เอ็กซ์เพรส (ประเทศไทย) จำกัด (อยุธยา บางปะอิน),0909845175,Tanapat.Mekloy@kerrylogistics.com,1
สจจ.ชุมพร,บริษัท ศิริมงคล โลจิสติกส์ จำกัด,077547123,hr@smklogistics.com,1
สจจ.ชุมพร,บริษัท ชุมพรอุตสาหกรรมน้ำมันปาล์ม จำกัด (มหาชน),077-611000 ต่อ 130-133,Kwanyeun@cpi-th.com,1
สจจ.สงขลา,บริษัท อี ฮับ ฮวด จำกัด,074 - 292182 - 4,e_hup_huat@hotmail.com,1
สจจ.ตาก,บริษัท มามาโฮมมาร์ท จำกัด,055-535404,smartjobmaesot@hotmail.com,1
สจจ.แม่ฮ่องสอน,บริษัท สยามโกลบอลเฮ้าส์ จำกัด สาขาแม่ฮ่องสอน,0610211414,jatu.wan.jo@hotmail.com,1
สจจ.มหาสารคาม,บริษัท ชายนันท์ก่อสร้าง จำกัด,043-771435 ต่อ 155,xxx@xxx.com,0
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๕,บริษัท สยาม เอ็นเนอร์ยี่ กรุ๊ป (ประเทศไทย) จำกัด,02-1085701-2,mail@siamenergy.co.th,1
สจจ.ชัยนาท,บริษัท เคอรี่ เอ็กซ์เพรส (ประเทศไทย) จำกัด (มหาชน) สาขาชัยนาท,0982507237,XXX@hotmai.XXX,0
สจจ.ชัยนาท,บริษัท เดลิเวอรี่ ฮีโร่ ไทยแลนด์ (ฟู้ดแพนด้า ชัยนาท),0660973489,xxx@hotmail.xxx,0
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๙,บจก. จุฑามาศแอสเซท,02-552-6611,xxx@xxx.xxxx,0
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๑,เอสพีที เวนดิ้ง จำกัด,026352700-1,vararat.j@hotmail.com,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๒,บริษัท ไฮเทค เอ็มเอฟจี. จำกัด,02-4515875-6,xxx_xx@xxx.xx,0
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๒,บริษัท ออลมาร์เก็ตติ้ง จำกัด/สำนักงานใหญ่,02-4150035,surachart@unitedfoods.com,1
สจจ.เชียงราย,ห้างทองเยาวราชกรุงเทพ(เชียงราย),089 -7584169,xxx@xxx.xxx,0
สจจ.สุราษฎร์ธานี,บริษัท ธนาชัตเตอร์ส จำกัด,077-281138,thanashuttes@gmail.com,1
สจจ.ตราด,บริษัท เกาะช้าง ชามมิง คลิฟบีช รีสอร์ท จำกัด,0867632156,powrahjitnapa@yahoo.com,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๑,เมกไกวส์ คาร์ดีเทลลิ่ง  จำกัด,026390404,oreasn@meguier.co.th,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๑,บริษัท เคอรี่ เอ็กซ์เพรส (ประเทศไทย) จำกัด (มหาชน) สนง.ใหญ่,022385558,area1_doe@hotmail.com,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๑,บริษัท ชาร์เตอร์ สแควร์ โฮลดิ้ง จำกัด,02-637-8000,hra@charteredsquare.com,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๑,บริษัท รักษาความปลอดภัยและธุรกิจบริการกรุงเทพเซอร์เว็กซ์ จำกัด(สนง. เลขที่ 132/8-9 ถ.สีลม),0-2237-4747,Norapon2822@gmail.com,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๕,บริษัท กุลธรอิเล็คทริค จำกัด,0 2326 0527,human@kulthorn-electric.com,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๕,บ.เวอร์เด้ อินโนเวชั่น จก.,087-6776117,xxx@xxx.xxx,0
สจจ.สงขลา,บริษัท สยาม ไฟเบอร์บอร์ด จำกัด,074-291111 ต่อ 751,hrsfc@siamfibreboard.com,1
สจจ.สงขลา,หจก. เอ็น.เอ.เซอร์เวย์,074-257594,nssurvey2007@gmail.com,1
สจจ.สงขลา,บริษัท ตงการช่างซัพพลาย จำกัด,074243888,atiwatk@tongsupply.com,1
สจจ.ตราด,ร้านตราดวัสดุ,039512717,tratsmartjob@gmail.com,1
สจจ.ปทุมธานี,บริษัท รุ่งปรินทรพาณิชย์ จำกัด,0893524555,rungparinthron@gmail.com,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๕,บริษัท แกรนดี อินเตอร์เนชั่นแนล จำกัด,025407677,xxx@xxx.xxx,0
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๘,บ.สำนักพิมพ์วัฒนาพานิช จำกัด02,02-2224772,recruit@wpp.co.th,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๘,บริษัท นัฐพงษ์เซลล์แอนด์เซอร์วิส จำกัด (สำนักงานใหญ่),022250094,mynpe@mynpe.com,1
สจจ.อุบลราชธานี,ห้างหุ้นส่วนจำกัด กิมเชียงวัสดุก่อสร้าง,045-243287,kcc.34000@gmail.com,0
สจจ.สกลนคร,บริษัท คูณยิ่ง จำกัด,042-732542,xxxx@hotmail.com,0
สจจ.สกลนคร,บริษัทน้ำแข็งภูพาน จำกัด,042-733413,xxx@hotmail.com,0
สจจ.สกลนคร,บริษัทสกลโฮมเซ็นเตอร์ จำกัด,042-731202-9,sakolhome@yahoo.co.th,1
สจจ.เชียงราย,ห้างหุ้นส่วนจำกัด สิงห์อำพรรณ คอนสตรัคชั่น,0806731157,singampan1@hotmail.com,1
สจจ.เชียงราย,บริษัท อี้จั้นฟู้ดส์  จำกัด,053-666676,jobfairchiangrai@gmail.com,1
สจจ.อุบลราชธานี,ห้างหุ้นส่วนจำกัด บ้านแพ้ว กรุ๊ป,045267663-4,angy_monmo@hotmail.com,1
สจจ.อุบลราชธานี,หจก. หทัยวานิช 2550,045323998,hs_human.r@hotmail.com,1
สจจ.อุบลราชธานี,ห้างหุ้นส่วนจำกัด  ชัยเฟอร์นิเจอร์อุบล,045-288476-7,chaifurniture.cfu@gmail.com,1
สจจ.อุบลราชธานี,บริษัท อุบล อาร์ต ไลน์ จำกัด,0612368288,Watsamonnamsan2535@gmail.com,1
สจจ.อุบลราชธานี,บริษัทโชติรสเอ็นดีพี จำกัด,045-267524 ต่อ101-104,chotirosndp61@gmail.com,1
สจจ.นครศรีธรรมราช,บริษัท เทวิษฎ์บริการ จำกัด,075356511,thavit52@yahoo.com,1
สจจ.นครศรีธรรมราช,บริษัท ช.เกษตรรุ่งเรือง จำกัด,075-347230,spa_farm@hotmail.com,1
สจจ.เชียงใหม่,บริษัทรักษาความปลอดภัยซิเคียวริทัส(ประเทศไทย)จำกัด,0898319797,Poonyawat.P@securitas.co.th,1
สจจ.ลำพูน,บริษัท แอ็ดไซน์ ไฮการ์เม้นท์ จำกัด,053-527598/086-3440631,xxxxxx@gmail.com,0
สจจ.สุโขทัย,บริษัท พี เอ เอส พืชผลส่งออก และไซโล จำกัด,055641200,hrm_pas@sornthongoil.com,1
สจจ.ลพบุรี,หจก.จิตตสุวัชร์,081-7551804/036-621171,xxx@xxx.xxx,0
สจจ.สุพรรณบุรี,บริษัทสีสุพรรณ จำกัด,"035-412777,081-4946444",spb@doe.go.th,1
สจจ.เชียงใหม่,บริษัท ออร์เนท เอสดีโอ จำกัด สาขาเชียงใหม่,053-140550-2 ต่อ 1,hrchm@ornatehroup.com,1
สจจ.ลำพูน,สำนักงานแขวงทางหลวงชนบทลำพูน,053-003546,xxx@xxx.xxx,0
สจจ.สุพรรณบุรี,ห้างหุ้นส่วนจำกัด บางแม่หม้าย วัสดุก่อสร้าง,035473630,bug-gi@hotmail.com,1
สจจ.กาฬสินธุ์,แสนเกล้ากาฬสินธุ์,043811505,xxx@hotmail.com,0
สจจ.ชลบุรี,บริษัท แอพคอน แฟบริเคชั่น จำกัด (สาขาชลบุรี),038-195737,AAA@AAA.COM,0
สจจ.แพร่,บริษัท ตึกเหลืองค้าวัสดุก่อสร้าง จำกัด,0951414499,tuekleaung@gmail.com,1
สจจ.นครศรีธรรมราช,บริษัท สหมิตรโฮมโซลูชั่น จำกัด,075-321333-4,sahamitk_acc@hotmail.com,1
สจจ.จันทบุรี,บริษัท เค.แอล.โลจิสติกส์2016 จำกัด,088-2061698,k.l.logistics2016@hotmail.com,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๒,บมจ.เอเชีย กรีน เอนเนอจี /สำนักงานใหญ่,02-8940088 081-7539366,xxx_xx@xxx.xx,0
สจจ.นครปฐม,บริษัท ทชากร  อินเตอร์เทรด จำกัด,034-966666,mindo_judo@hotmail.com,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๔,บริษัท เอ็น ซี เอส เน็ทเวิร์ค คอมมูนิเคชั่น โซลูชั่น จำกัด,02-508-0977,news@ncsnnetwork.com,1
สจจ.ชัยนาท,บริษัท วีระนันท์ จำกัด,"093-1358887,089-9619705",sccc_veeranun@yahoo.com,0
สจจ.ลำปาง,บริษัท เดลิเวอรี่ ฮีโร่ (ไทยแลนด์) ฟู้ดแพนด้า สาขาลำปาง,065-9989303,-@hotmail.com,0
สจจ.สุพรรณบุรี,บริษัท สุพรรณอินเตอร์ พอร์ค จำกัด,035-440950,suphaninterpork@gmail.com,1
สจจ.นนทบุรี,บริษัท เอ็มเวฟ มาร์เก็ตติ้ง จำกัด,02-1474747,thapana@helukabel.com,1
สจจ.มุกดาหาร,ห้างหุ้นส่วนจำกัด กาเซ็ม ก่อสร้าง,081-7491928,Ekgawit_21@hotmail.com,1
สจจ.กระบี่,ซีซีพี คอนกรีต,0869483940,ccp.concrete88@gmail.com,1
สจจ.นครราชสีมา,บริษัท บีบีเอ็ม อินเตอร์ฟู้ด จำกัด,044333123,orawan_poom@hotmail.com,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๑,บริษัท ปีเตอร์ พอล แอนด์ แมรี่ อินเตอร์เทรด จำกัด,"022354010, 022359521",ppminter@gmail.com,1
สจจ.เชียงราย,บริษัท ส.การค้า เชียงราย จำกัด,053-721568,skarnka@gmail.com,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๑,บริษัท ชัยทรัพย์สุวรรณ เทรดดิ้ง จำกัด,026136619,cswgroup1@gmail.com,1
สจจ.นนทบุรี,บริษัท ไบร์ท พรีแคสเตอร์ จำกัด,02-1507099,hr@hotmail.com,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๘,บริษัท เวิลด์เปเปอร์ จำกัด,026230620,pook.hr.somchai@hotmail.com,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๘,บริษัท สมไทยเปเปอร์ จำกัด,026230620,pook.hr.somthai@hotmail.com,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๘,บริษัท แกรนด์เปเปอร์ จำกัด,026230620,pook.hr.somchai@hotmail.com,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๗,กิมอี่ 56,0831999197,kim_kim10@hotmail.com,1
สจจ.ชลบุรี,บริษัท โรงพยาบาลเอกชล จำกัด (มหาชน),038-939888,123@hotmail.com,0
สจจ.ชลบุรี,บริษัท ศุภมิตร แอล.วี. จำกัด,038-151052,123@hotmail.com,0
สจจ.ชลบุรี,บริษัท สิงห์ชลบุรี เอฟ แอนด์ บี จำกัด (สาขาชลบุรี),098-0912989,123@hotmail.com,0
สจจ.ชลบุรี,บริษัท แอล ที เค อินเตอร์เทรดดิ้ง จำกัด,038-274111-3,123@hotmail.com,0
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๔,บริษัท สมิทธิญาณและเพื่อน จำกัด,023743730-1,samitthiyan_sma@hotmail.com,1
สจจ.ปราจีนบุรี,องค์การบริหารส่วนจังหวัดปราจีนบุรี,037213724,ssss@gmail.com,0
สจจ.อุตรดิตถ์,บริษัท อุตรดิตถ์ แอลพีจี จำกัด,0867098343,Preechagc@gmail.com,1
สจจ.สุโขทัย,บริษัท ธงชัยวิทยุ เซลส์ แอนด์ เซอร์วิส จำกัด,0850512078,sti@doe.go.th,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๙,บริษัท เอเซีย อลูมินั่ม แอนด์ กลาส  จำกัด,02-591-9991 ต่อ 311,hr@asiaaluminum.co.th,1
สจจ.สมุทรสาคร,น้ำมันมะพร้าวไทย จำกัด,034-700051-2,Hr.thaipure@hotmail.com,1
สจจ.พัทลุง,ห้างหุ้นส่วนจำกัด วิศลย์ กรุ๊ป,"074-820150,086-2875781",vison.group@gmail.com,1
สจจ.ประจวบคีรีขันธ์,บจก.แคชแวนแมนเนจเม้นท์(สาขาหัวหิน),032-827079,Anoma.s@Sales.thaibaf.com,1
สจจ.บุรีรัมย์,กิมหงวนเฟอร์นิเจอร์2004,0819996152,kimfur-kf@hotmail.com,1
สจจ.ศรีสะเกษ,ท่าทรายพนมศักดิ์ ราษีสิน,0-4568-2141,ssk@doe.go.th,1
สจจ.กาฬสินธุ์,บริษัท ซี.เอส.เค. เบเวอร์เรจ (2011) จำกัด สาขากาฬสินธุ์,"093-3193448,093-3193499",methaphon28012529@gmail.com,1
สจจ.ประจวบคีรีขันธ์,บริษท เอ เชียร์ ฟู้ด อินเตอร์กรุ๊ป2020จำกัด,094-8266261,koy_pkn@hotmail.com,1
สจจ.ภูเก็ต,บริษัท ธนบุรี เฮลท์แคร์ กรุ๊ป จำกัด (มหาชน) (รพ.อบจ.ภูเก็ต),076-358888 ต่อ ฝ่ายบุคคล,ornhr2014@gmail.com,1
สจจ.สระบุรี,บริษัท วิริยะโลหะกิจ จำกัด สระบุรี,036-7122222-28,viriyalohakij.hr@gmail.com,1
สจจ.ระยอง,บริษัท ไทยเปเปอร์มิลล์ จำกัด,038-016487-91,000@gmail.com,0
สจจ.ระยอง,บริษัท บริดจสโตน เมตัลฟา (ประเทศไทย) จำกัด,038-684700,chirapon.chiranairadul@bridgestone.com,1
สจจ.ระยอง,บริษัท บริดจสโตน เมตัลฟา (ประเทศไทย) จำกัด,038-684700,chirapon.chiranairadul@bridgestone.com,1
สจจ.เชียงใหม่,สำนักงานตรวจบัญชีสหกรณ์เชียงใหม่,053-121366-67,ooo@ooo.ooo,0
สจจ.หนองคาย,บริษัทดวงใจ กรุ๊ป จำกัด,081-9750280,natgriutta2016@gmail.com,1
สจจ.ศรีสะเกษ,มาลีธารทิพย์ จำกัด,045611838,tiptara.malee@gmail.com,1
สจจ.หนองคาย,คราวน์ เฟอร์นิเจอร์,087-7238861,natgritta2016@gmail.com,1
สจจ.หนองคาย,บจ.ดี.พี.พร็อพเพอร์ตี้ฯ(โรงแรมรอยัลนาคารา หนองคาย),042-422889,natgritta2016@gmail.com,1
สจจ.นราธิวาส,หจก.สุรินทร์,073-511110,panyamon@windowslive.com,1
สจจ.นราธิวาส,ร้าน ป.ปลาพาณิชย์,"081-5416699,073-541799-801",xxx@xxx.com,0
สจจ.นราธิวาส,ร้าน ป.ปลาพาณิชย์,"08-15416699,073-541801",xxxx@xxxx.com,0
สจจ.ลพบุรี,บริษัท มิกซ์ เคมีคอล จำกัด,092-2647359,xxx@xxx.xxx,0
สจจ.อยุธยา,บริษัท ทีอาร์ดี เอ็นจิเนียริ่ง แอนด์ ซัพพลาย จำกัด,035750131,TRD.SALE.ENG@Gmail.com,1
สจจ.กาฬสินธุ์,บริษัท กาฬสินธุ์ออโตเซลล์ จำกัด,0813202447,hr_kas@gotmail.com,1
สจจ.ลพบุรี,บริษัท เบอร์ลี่ ไดน่าพลาส จำกัด,036-783265-6,xxx@xxx.com,0
สจจ.ระยอง,บริษัท อุตสาหกรรมน้ำปลาระยอง จำกัด,038663007,jantana@rayongfishsauce.com,1
สจจ.ระยอง,บริษัท อาร์เอ็มเอส  ควอลิตี้  จำกัด,038-685602-7,111@hotmail.com,0
สจจ.มุกดาหาร,บริษัท พิตรพิบูล จำกัด,095-6289551,ducky.sittiphan@gmail.com,1
สจจ.มุกดาหาร,บริษัท วัชรรุ่งเรืองกิจ จำกัด,042-630540,ewqewq623@gmail.com,1
สจจ.มุกดาหาร,ห้างหุ้นส่วนจำกัด บิ๊กดี เฮ้าส์,081-7394989,wwwiwa.ns@gmail.com,0
สจจ.เชียงราย,บริษัท ที.เอ็น.พี.วัสดุภัณฑ์ จำกัด,084-3789478,jobfairchiangrai@gmail.com,1
สจจ.กาญจนบุรี,หจก. โชคประภัสสร์ก่อสร้าง,034-621475-7,xxx@xxx.xxx,0
สจจ.กาญจนบุรี,ห้างหุ้นส่วนจำกัด วี.โอ.พี.แมชชินเนอรี่,-,xxx@gmail.com,0
สจจ.กาญจนบุรี,บริษัท สยามชัย เซอร์วิส จำกัด (กาญจนบุรี),0657153785/0640944059,xxx@gmail.com,0
สจจ.สมุทรสาคร,บริษัท ไทยเมอร์รี่ จำกัด(สาขาสมุทรสาคร),02-4200048,hr_thaimerry@hotmail.com,1
สจจ.สมุทรสาคร,บริษัท เอส เจ บราเธอร์ จำกัด,02-0249765,sjbrothersth@gmail.com,1
สจจ.ชุมพร,เลิศพรธุรกิจ จำกัด,0986915646,adddona@gmail.com,0
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๓,บริษัท บุญกนิษฐ์ เคเบิ้ล เวอคส์ จำกัด,023931241,prathomporn.d@gmail.com,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๓,บริษัท โพรเฟสชั่นนัล ดราย คลีน เซ็นเตอร์ จำกัด,02-383-9173-4,washmecleaning@hotmail.com,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๒,บริษัท สยามเซฟเวย์ เทรดดิ้ง จำกัด,02-8943838,xxx_xx@xxx.xx,0
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๒,บริษัท สุวรรณบุตร จำกัด,02-8950734,xxx_xx@hotmail.com,0
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๒,บริษัท แมวเหมียว อินเตอร์ กรุ๊ป จำกัด,0863231926,jharoentup@hotmail.com,1
